date,open,high,low,close,volume,number of trades,Bitcoin BTC,sentiment
2018-04-26 00:00:00,8869.99000000,8869.99000000,8660.00000000,8800.02000000,3857.71434400,22971,73.0,0.022095959595959603
2018-04-26 01:00:00,8808.17000000,8863.85000000,8720.13000000,8752.82000000,1972.82579300,11686,60.0,0.3522321428571429
2018-04-26 02:00:00,8755.06000000,8899.00000000,8751.00000000,8850.15000000,1637.15144000,9123,53.0,0.10446428571428572
2018-04-26 03:00:00,8850.22000000,8890.00000000,8763.14000000,8808.02000000,1429.99251800,9821,74.0,0.17189529220779223
2018-04-26 04:00:00,8812.70000000,8940.01000000,8800.00000000,8935.00000000,2138.33711300,11722,66.0,0.0010227272727272696
2018-04-26 05:00:00,8936.00000000,8977.00000000,8874.00000000,8916.56000000,2050.40440200,10366,57.0,0.12810673701298703
2018-04-26 06:00:00,8905.88000000,8945.34000000,8771.00000000,8841.00000000,2142.34600600,13050,64.0,0.2055442176870748
2018-04-26 07:00:00,8841.04000000,8888.99000000,8803.00000000,8847.97000000,1361.05604000,8525,65.0,0.02665584415584415
2018-04-26 08:00:00,8847.97000000,8887.80000000,8680.00000000,8720.50000000,2763.68963800,18121,60.0,0.16285714285714284
2018-04-26 09:00:00,8720.58000000,8773.00000000,8651.62000000,8746.00000000,2017.71349700,12863,62.0,0.06704545454545455
2018-04-26 10:00:00,8746.00000000,8881.00000000,8738.14000000,8845.02000000,1817.68795400,12153,59.0,0.013576238576238587
2018-04-26 11:00:00,8844.98000000,8917.51000000,8819.00000000,8857.01000000,1419.47396400,9273,51.0,-0.006481481481481479
2018-04-26 12:00:00,8858.51000000,8945.00000000,8857.01000000,8900.01000000,1458.68992700,10471,57.0,-0.020833333333333332
2018-04-26 13:00:00,8904.78000000,8904.93000000,8785.00000000,8829.63000000,1330.94839200,10352,48.0,0.2508066635745207
2018-04-26 14:00:00,8828.27000000,8885.00000000,8740.01000000,8829.99000000,1753.77606900,13144,47.0,0.04119735819735819
2018-04-26 15:00:00,8829.99000000,8832.00000000,8768.60000000,8806.10000000,1158.20897900,8530,53.0,0.0009259259259259226
2018-04-26 16:00:00,8806.10000000,8908.53000000,8775.89000000,8900.51000000,1471.48650400,11847,48.0,0.11875000000000001
2018-04-26 17:00:00,8899.00000000,8925.00000000,8845.03000000,8866.43000000,1121.79665100,8686,53.0,0.24997685185185184
2018-04-26 18:00:00,8866.43000000,8909.00000000,8834.02000000,8845.09000000,709.54431500,6385,54.0,0.09333333333333332
2018-04-26 19:00:00,8845.10000000,8895.21000000,8838.35000000,8881.54000000,660.36488500,6077,54.0,0.20094696969696968
2018-04-26 20:00:00,8880.00000000,9138.00000000,8880.00000000,9123.99000000,3004.79447400,20742,59.0,0.2029265873015873
